,Subscriber Id_x,seasoning_3month_sp+mp,seasoning_3month_sp+mp.1,seasoning_3month_sp+mp.2,seasoning_3month_sp+mp.3
0,35410f08-48fe-4073-91b6-32f411442578,2,0.16121177,0.821313,0.01747519
1,a07eda21-dec1-443d-83db-6947f9c4f2c8,2,0.073896356,0.9138351,0.012268519
2,b0cafe5d-61ce-4115-b3a4-c84b92b8e991,2,0.06698916,0.9219221,0.011088737
3,a0d42e6a-924a-47e3-8369-26e69f8d2d27,2,0.09031355,0.8978732,0.011813186
4,3d1cfbc2-d893-40a9-acd1-b988cc3a8831,2,0.075379685,0.9067312,0.017889144
5,00a8dd47-eede-4d74-a055-08ff8b8d0de9,2,0.07203371,0.916665,0.011301176
6,fd1c1973-88d4-4c16-9fa6-8c5568f12884,2,0.07607314,0.9120608,0.011866045
7,843e3200-37ad-4c92-8f2e-6e93205036ed,2,0.1694716,0.813603,0.016925387
8,5882efa2-abd4-45f7-83bb-ae0ffb1e9a39,2,0.09117629,0.8803276,0.028496178
9,ccd56704-3e07-47df-a025-71c09cc1b2be,2,0.09772576,0.88902426,0.013249921
10,9048907c-2269-47b4-8f39-112a2452fd02,2,0.07395416,0.91447777,0.01156802
